-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  55.7409   Longitude 12.2562 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,WS50M,WD50M
2023,1,1,100.4,8.98,236.31,12.64,237.12
2023,1,2,100.81,5.53,224.0,7.96,224.5
2023,1,3,101.9,6.77,252.0,8.97,252.5
2023,1,4,100.31,8.99,208.31,11.74,209.75
2023,1,5,100.53,7.63,210.5,9.9,211.38
2023,1,6,101.08,8.24,192.25,10.84,193.19
2023,1,7,100.92,5.55,191.62,7.69,192.44
2023,1,8,99.88,5.68,185.19,7.82,186.19
2023,1,9,99.43,4.77,197.31,6.24,197.88
2023,1,10,100.73,6.03,226.06,7.95,226.81
2023,1,11,100.12,8.6,213.75,11.18,215.06
2023,1,12,99.62,7.62,214.38,10.08,215.5
2023,1,13,99.28,10.16,216.19,13.2,217.62
2023,1,14,99.71,9.95,217.38,12.62,218.69
2023,1,15,98.44,12.38,227.38,15.62,228.81
2023,1,16,98.65,8.44,185.38,10.62,186.38
2023,1,17,97.73,8.7,184.31,10.87,185.12
2023,1,18,98.98,5.98,210.44,8.01,210.56
2023,1,19,99.63,7.57,194.5,9.94,195.44
2023,1,20,101.17,2.71,185.06,3.66,183.94
2023,1,21,102.99,5.2,51.81,6.84,52.38
2023,1,22,103.39,6.17,60.62,8.05,61.69
2023,1,23,103.73,2.62,125.31,3.55,126.44
2023,1,24,103.71,3.51,253.75,4.83,253.69
2023,1,25,102.71,6.12,240.5,7.62,241.0
2023,1,26,101.94,5.3,167.31,6.95,168.25
2023,1,27,102.64,3.73,64.5,4.77,65.69
2023,1,28,102.27,5.41,256.12,7.11,256.44
2023,1,29,101.19,8.44,250.12,10.62,251.0
2023,1,30,99.59,11.28,283.19,14.44,284.44
2023,1,31,100.18,9.75,270.5,12.41,271.62
2023,2,1,99.6,10.61,270.56,13.45,271.81
2023,2,2,101.08,5.77,308.0,7.45,308.19
2023,2,3,100.66,9.62,187.06,12.39,188.31
2023,2,4,103.4,4.21,51.56,5.72,52.19
2023,2,5,103.41,5.2,220.69,7.09,221.69
2023,2,6,103.76,2.55,145.0,3.38,144.75
2023,2,7,103.77,4.48,245.38,6.11,245.25
2023,2,8,103.55,5.84,209.88,7.73,210.19
2023,2,9,102.38,8.7,224.31,10.83,225.31
2023,2,10,102.28,8.4,255.44,10.76,256.5
2023,2,11,101.98,8.52,287.81,11.69,288.94
2023,2,12,103.08,5.41,276.81,7.81,277.44
2023,2,13,103.16,6.27,290.5,9.09,291.19
2023,2,14,103.24,2.77,257.81,3.8,257.5
2023,2,15,102.37,3.7,191.56,4.59,191.62
2023,2,16,101.55,4.17,238.25,5.77,238.81
2023,2,17,100.05,12.21,239.5,15.77,240.88
2023,2,18,100.44,10.53,290.75,13.55,291.75
2023,2,19,101.18,7.52,291.25,9.66,292.0
2023,2,20,100.23,11.66,263.31,14.79,264.56
2023,2,21,100.72,8.36,251.81,11.12,252.5
2023,2,22,101.42,6.7,130.81,8.68,131.56
2023,2,23,100.8,5.47,213.0,7.36,213.81
