-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  56.3265   Longitude 9.3184 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,WS50M,WD50M
2023,1,1,99.81,6.27,191.19,9.26,192.19
2023,1,2,100.45,3.67,244.12,6.22,244.62
2023,1,3,101.45,5.33,234.12,8.52,234.81
2023,1,4,99.52,8.41,213.38,11.48,215.06
2023,1,5,100.49,5.04,228.44,7.03,214.12
2023,1,6,100.34,7.87,200.88,10.95,202.31
2023,1,7,100.21,5.85,181.62,8.65,182.75
2023,1,8,99.2,6.44,186.0,8.93,187.56
2023,1,9,98.88,5.03,189.06,7.57,190.19
2023,1,10,100.09,5.65,218.44,8.6,219.44
2023,1,11,99.29,8.55,218.12,11.84,219.81
2023,1,12,98.96,5.52,207.62,8.02,208.81
2023,1,13,98.44,7.72,220.81,10.54,222.12
2023,1,14,98.99,7.91,214.38,10.9,215.81
2023,1,15,97.52,11.26,232.44,15.05,234.12
2023,1,16,98.03,6.08,179.69,8.56,180.5
2023,1,17,97.14,5.72,180.81,7.34,181.62
2023,1,18,98.33,5.72,197.06,8.45,198.0
2023,1,19,99.12,3.15,181.69,4.51,182.31
2023,1,20,101.0,2.6,18.44,4.57,18.56
2023,1,21,102.92,2.93,56.75,5.3,56.88
2023,1,22,103.27,2.52,96.62,4.13,97.19
2023,1,23,103.51,2.06,188.94,3.24,187.62
2023,1,24,103.28,5.18,223.56,7.67,224.0
2023,1,25,102.13,6.25,230.62,9.2,231.94
2023,1,26,101.87,4.77,158.31,7.87,143.94
2023,1,27,102.5,2.64,128.94,4.8,128.88
2023,1,28,101.88,5.32,254.75,8.73,255.5
2023,1,29,100.69,7.88,248.31,11.21,249.44
2023,1,30,99.52,11.25,293.06,15.11,294.12
2023,1,31,99.87,8.93,269.75,12.47,270.88
2023,2,1,99.3,10.09,283.5,13.59,284.88
2023,2,2,100.89,3.27,227.19,5.31,227.38
2023,2,3,100.57,8.51,192.19,11.91,193.31
2023,2,4,103.14,3.95,111.31,6.36,111.5
2023,2,5,103.0,5.62,273.75,8.5,274.75
2023,2,6,103.45,2.88,259.69,4.91,260.44
2023,2,7,103.25,5.29,213.94,7.44,214.88
2023,2,8,102.9,6.22,198.38,8.23,199.31
2023,2,9,101.73,8.44,237.62,11.34,239.0
2023,2,10,101.84,7.82,261.44,11.16,262.5
2023,2,11,101.8,8.9,284.75,11.88,286.12
2023,2,12,102.81,6.02,270.31,8.14,271.31
2023,2,13,102.93,5.22,274.69,7.79,275.31
2023,2,14,102.86,3.56,202.25,5.19,203.0
2023,2,15,101.9,4.09,185.0,5.23,185.69
2023,2,16,101.1,4.48,228.38,6.77,229.12
2023,2,17,99.51,12.96,246.56,16.92,248.12
2023,2,18,100.38,7.61,299.38,10.86,299.94
2023,2,19,101.01,6.34,284.38,9.28,284.94
2023,2,20,99.84,12.45,270.06,16.3,271.5
2023,2,21,100.58,6.53,285.19,8.89,287.38
2023,2,22,100.91,5.17,149.88,6.82,150.5
2023,2,23,100.5,4.74,266.94,7.19,267.5
2023,2,24,99.16,8.68,223.31,11.36,224.44
2023,2,25,100.47,7.81,11.12,10.91,11.62
2023,2,26,101.97,4.37,92.81,7.09,93.0
2023,2,27,102.55,3.35,335.88,5.36,336.12
2023,2,28,102.65,2.35,303.69,3.38,303.88
2023,3,1,102.55,2.29,124.75,3.38,125.56
2023,3,2,102.13,3.19,288.56,5.38,289.12
2023,3,3,101.45,5.17,269.56,7.03,267.62
2023,3,4,101.17,6.36,331.88,9.17,332.31
2023,3,5,100.45,3.86,313.0,5.98,313.31
2023,3,6,99.41,3.57,246.25,5.04,246.19
2023,3,7,97.99,7.62,276.44,10.32,277.75
2023,3,8,99.08,1.95,255.69,2.98,256.75
2023,3,9,99.23,4.63,221.88,6.98,222.12
2023,3,10,99.06,3.39,98.06,4.63,98.38
2023,3,11,99.71,5.46,299.0,7.84,299.44
2023,3,12,99.84,5.24,211.31,7.41,212.44
2023,3,13,97.76,10.24,212.75,14.23,213.94
2023,3,14,98.2,7.87,287.5,10.78,288.19
2023,3,15,100.25,6.45,273.06,9.08,273.94
2023,3,16,101.01,7.9,173.0,10.52,174.0
2023,3,17,100.21,6.97,181.88,9.37,183.12
2023,3,18,100.4,2.16,224.56,3.31,224.75
2023,3,19,100.74,4.48,173.94,6.25,174.56
2023,3,20,100.74,5.28,264.56,7.27,265.12
2023,3,21,100.41,5.15,188.69,6.62,189.56
2023,3,22,99.41,8.1,215.62,10.87,217.0
2023,3,23,99.06,7.34,215.75,9.86,216.81
2023,3,24,98.68,8.18,217.75,10.76,218.81
2023,3,25,98.81,5.36,247.75,7.89,248.5
2023,3,26,99.71,5.34,319.81,7.42,319.62
2023,3,27,100.62,5.27,294.31,7.42,294.62
2023,3,28,101.42,4.03,175.5,5.8,177.38
2023,3,29,100.55,4.01,183.12,5.52,184.5
2023,3,30,99.43,5.85,167.81,7.74,168.88
2023,3,31,99.16,4.91,142.88,6.14,144.06
2023,4,1,100.45,7.83,63.62,10.45,64.25
2023,4,2,102.36,4.38,55.31,6.66,55.56
2023,4,3,103.0,2.23,101.69,2.98,100.88
2023,4,4,102.42,3.35,303.81,4.74,303.69
2023,4,5,101.83,2.63,101.5,3.79,102.31
2023,4,6,101.45,4.33,142.94,6.03,144.06
2023,4,7,101.97,5.52,81.56,7.47,82.12
2023,4,8,102.39,3.68,68.88,5.34,69.44
2023,4,9,102.27,2.08,137.69,3.31,138.31
2023,4,10,101.22,8.54,141.81,11.2,143.25
2023,4,11,99.89,5.8,215.19,7.81,216.12
2023,4,12,99.7,7.88,133.56,10.02,134.75
2023,4,13,99.53,6.22,150.5,8.29,151.88
2023,4,14,100.75,3.66,97.12,5.52,97.69
2023,4,15,101.17,4.18,61.81,6.12,62.94
2023,4,16,101.93,2.79,61.88,4.13,61.94
2023,4,17,102.56,4.3,45.25,6.66,45.19
2023,4,18,103.02,5.31,58.0,8.05,58.31
2023,4,19,102.87,5.41,56.12,7.88,56.75
2023,4,20,102.42,6.04,60.62,9.12,61.31
2023,4,21,101.86,3.84,93.25,5.88,93.25
2023,4,22,100.58,5.65,121.31,8.29,122.19
2023,4,23,99.83,4.89,219.31,6.73,219.44
2023,4,24,99.26,5.35,200.81,7.16,201.12
2023,4,25,99.72,8.74,292.38,11.23,293.5
2023,4,26,100.62,7.98,287.44,10.6,288.19
2023,4,27,101.16,6.46,284.25,8.91,284.88
2023,4,28,101.16,2.55,175.94,3.7,176.0
2023,4,29,101.14,6.84,279.5,9.18,280.19
2023,4,30,101.68,5.17,284.88,7.27,285.06
2023,5,1,100.86,6.35,228.38,8.52,229.0
2023,5,2,101.5,5.91,306.56,8.02,307.38
2023,5,3,102.21,4.66,300.12,6.59,300.88
2023,5,4,102.15,3.2,143.06,4.57,143.06
2023,5,5,102.06,9.18,107.69,12.16,108.38
2023,5,6,101.94,7.55,110.44,10.23,111.25
2023,5,7,102.12,6.34,118.62,8.84,119.62
2023,5,8,102.02,7.26,140.31,9.9,141.44
2023,5,9,101.0,8.03,144.69,10.88,146.06
2023,5,10,100.54,7.04,139.0,9.73,140.62
2023,5,11,101.26,2.06,146.38,3.02,134.88
2023,5,12,101.89,3.25,103.0,4.6,103.25
2023,5,13,101.99,1.41,154.44,1.85,153.81
2023,5,14,101.48,3.01,148.94,4.17,149.25
2023,5,15,100.76,3.01,222.0,3.95,222.0
2023,5,16,100.57,7.6,293.69,9.8,294.88
2023,5,17,101.54,8.69,300.25,11.35,301.12
2023,5,18,102.33,4.02,307.81,5.62,308.75
2023,5,19,102.52,2.08,148.44,2.98,147.62
2023,5,20,102.45,2.73,93.5,3.75,93.31
2023,5,21,101.94,4.09,77.0,6.02,77.5
2023,5,22,101.43,3.99,103.06,6.03,103.94
2023,5,23,101.0,5.94,286.62,7.88,287.5
2023,5,24,101.5,4.35,313.88,5.95,314.62
2023,5,25,102.1,7.44,315.19,9.73,316.06
2023,5,26,102.37,6.6,309.75,9.0,310.62
2023,5,27,102.18,4.09,273.56,5.93,273.25
2023,5,28,101.75,5.89,289.62,8.04,289.94
2023,5,29,101.91,5.66,315.81,7.73,316.56
2023,5,30,102.14,2.86,200.38,4.27,201.38
2023,5,31,101.79,7.68,289.0,9.93,290.25
2023,6,1,101.36,6.16,180.31,8.37,181.25
2023,6,2,101.93,2.69,35.0,3.85,34.56
2023,6,3,101.86,3.89,255.88,5.23,255.62
2023,6,4,101.74,2.79,288.75,4.11,292.19
2023,6,5,101.8,2.78,277.12,3.91,275.31
2023,6,6,101.53,4.3,270.38,5.81,270.5
2023,6,7,101.47,1.55,284.31,2.33,282.5
2023,6,8,101.36,3.77,291.25,5.2,291.56
2023,6,9,101.55,3.55,140.56,5.04,141.44
2023,6,10,101.94,5.01,102.06,7.32,102.38
2023,6,11,101.98,5.68,113.88,8.3,114.56
2023,6,12,101.83,4.33,107.69,6.45,108.5
2023,6,13,101.72,3.24,98.25,4.59,97.88
2023,6,14,101.74,2.57,53.94,3.56,54.5
2023,6,15,101.51,2.56,320.19,3.63,321.25
2023,6,16,101.08,2.16,168.56,3.12,168.5
2023,6,17,101.0,1.66,169.38,2.21,169.94
2023,6,18,100.95,2.99,230.44,4.18,230.69
2023,6,19,100.76,3.75,120.69,5.15,122.0
2023,6,20,100.93,2.45,184.88,3.82,185.75
2023,6,21,100.76,5.44,200.38,7.64,200.69
2023,6,22,101.38,4.17,280.94,6.21,281.25
2023,6,23,101.46,5.17,304.06,7.33,304.44
2023,6,24,101.67,4.7,272.06,6.59,272.44
2023,6,25,101.37,1.95,197.12,2.88,197.56
2023,6,26,100.58,7.09,204.69,9.61,205.25
2023,6,27,100.69,8.9,288.0,11.66,288.88
2023,6,28,100.99,4.13,269.44,5.91,269.31
2023,6,29,100.63,4.26,224.31,6.05,224.5
2023,6,30,100.36,6.09,265.19,8.26,265.44
2023,7,1,99.35,5.8,218.38,7.93,219.25
2023,7,2,99.19,9.75,254.81,12.94,255.75
2023,7,3,99.49,9.03,248.62,11.93,249.38
2023,7,4,99.84,7.55,244.56,10.36,245.44
2023,7,5,99.99,4.44,163.88,6.38,164.88
2023,7,6,100.6,7.18,259.0,9.77,259.56
2023,7,7,101.61,3.9,261.12,5.58,261.25
2023,7,8,101.81,1.41,198.25,1.98,197.75
2023,7,9,101.68,3.48,123.31,5.06,123.62
2023,7,10,101.2,4.42,221.38,6.55,221.81
2023,7,11,100.72,5.07,188.94,7.49,189.94
2023,7,12,100.11,3.98,237.38,5.8,236.94
2023,7,13,100.49,5.02,252.25,7.06,252.5
2023,7,14,100.89,3.96,220.44,6.01,220.38
2023,7,15,100.06,5.95,170.75,8.23,171.44
2023,7,16,100.06,9.26,213.69,12.49,214.69
2023,7,17,100.6,7.31,235.06,9.73,235.69
2023,7,18,100.97,6.44,266.88,8.84,267.19
2023,7,19,100.62,4.78,281.62,6.93,282.0
2023,7,20,100.41,7.12,277.94,9.75,278.56
2023,7,21,100.34,5.16,259.81,7.23,260.0
2023,7,22,100.31,4.6,251.75,6.54,251.94
2023,7,23,99.75,4.6,145.38,6.3,146.19
2023,7,24,99.18,6.22,262.88,8.26,263.81
2023,7,25,99.54,6.62,272.44,9.12,273.06
2023,7,26,99.89,7.69,252.31,10.5,253.38
2023,7,27,99.92,4.18,228.0,5.63,227.62
2023,7,28,100.01,2.12,203.12,2.74,203.38
2023,7,29,99.84,3.55,210.88,5.32,211.31
2023,7,30,99.93,4.73,228.25,6.97,228.81
2023,7,31,99.57,3.56,237.81,4.89,238.19
2023,8,1,98.88,3.43,80.31,4.8,80.62
2023,8,2,98.9,3.56,202.56,5.04,202.94
2023,8,3,98.91,5.03,162.06,6.92,148.19
2023,8,4,100.13,7.34,275.81,9.78,276.81
2023,8,5,100.68,4.02,231.88,5.54,231.62
2023,8,6,100.33,4.2,109.69,6.31,110.12
2023,8,7,99.32,11.16,295.75,14.56,297.12
2023,8,8,99.17,14.26,273.69,18.45,275.06
