-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  57.1738   Longitude 10.0836 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 14.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,WS50M,WD50M
2023,1,1,100.07,4.67,168.75,6.8,168.88
2023,1,2,100.68,3.41,246.12,5.64,246.31
2023,1,3,101.68,4.25,246.69,6.59,246.69
2023,1,4,99.77,8.46,201.62,11.28,203.25
2023,1,5,100.7,6.05,168.88,8.06,154.81
2023,1,6,100.61,8.84,192.81,11.63,194.12
2023,1,7,100.51,6.54,180.94,8.91,181.94
2023,1,8,99.5,6.83,183.06,9.36,184.38
2023,1,9,99.18,5.67,179.75,7.77,180.69
2023,1,10,100.34,6.24,218.62,8.68,219.44
2023,1,11,99.49,9.42,213.56,12.44,215.0
2023,1,12,99.2,6.32,203.56,8.44,204.38
2023,1,13,98.63,7.9,213.06,10.39,214.56
2023,1,14,99.2,8.71,213.25,11.41,214.38
2023,1,15,97.64,11.66,227.12,15.03,228.56
2023,1,16,98.31,7.34,190.0,9.62,190.81
2023,1,17,97.41,7.55,161.75,9.53,162.38
2023,1,18,98.56,7.04,204.75,9.27,205.19
2023,1,19,99.45,3.79,82.69,5.25,82.25
2023,1,20,101.27,3.59,22.62,5.7,23.38
2023,1,21,103.23,3.05,57.94,4.63,58.38
2023,1,22,103.59,2.25,107.0,3.32,107.75
2023,1,23,103.8,3.03,212.31,4.21,211.25
2023,1,24,103.48,6.62,227.94,8.59,228.5
2023,1,25,102.29,7.51,233.56,10.1,235.25
2023,1,26,102.13,5.59,130.75,8.19,131.81
2023,1,27,102.77,3.33,150.62,5.16,150.44
2023,1,28,102.03,6.97,254.62,9.71,255.69
2023,1,29,100.79,9.45,249.44,12.29,250.56
2023,1,30,99.55,12.26,291.19,15.85,292.25
2023,1,31,99.95,9.62,268.94,12.81,270.0
2023,2,1,99.38,9.71,288.5,12.69,289.56
2023,2,2,101.14,3.89,282.06,5.7,281.56
2023,2,3,100.76,8.53,151.94,11.47,152.81
2023,2,4,103.45,4.38,113.62,6.42,114.25
2023,2,5,103.24,6.05,271.88,8.42,273.0
2023,2,6,103.7,3.32,254.5,5.05,255.38
2023,2,7,103.47,5.88,219.62,7.86,220.38
2023,2,8,103.14,7.03,205.62,8.99,206.69
2023,2,9,101.86,9.8,236.31,12.74,237.69
2023,2,10,101.95,8.76,260.62,11.98,261.62
2023,2,11,101.88,9.75,283.62,12.98,284.69
2023,2,12,102.95,7.01,270.44,9.51,271.12
2023,2,13,103.09,6.52,273.94,9.01,274.62
2023,2,14,103.12,4.14,218.62,5.76,219.06
2023,2,15,102.18,4.43,190.44,5.63,191.12
2023,2,16,101.32,5.08,228.75,7.39,229.5
2023,2,17,99.53,13.59,240.94,17.4,242.38
2023,2,18,100.48,9.62,302.25,12.83,303.06
2023,2,19,101.15,7.71,288.19,10.66,288.69
2023,2,20,99.85,13.68,269.0,17.54,270.19
2023,2,21,100.74,7.23,198.31,9.79,198.81
2023,2,22,101.24,6.5,145.38,8.52,146.25
2023,2,23,100.71,4.77,257.75,6.92,258.75
